"npc_thunder_trap"
{
    "BaseClass"         "npc_dota_creature"
    "Model"           "models/items/rattletrap/warmachine_cog_dc/warmachine_cog_dc.vmdl"
    "Level"           "1"

    "Ability1"          "dummy_unit"

    "ArmorPhysical"       "0"
    "MagicalResistance"       "0"

    "AttackCapabilities"    "DOTA_UNIT_CAP_NO_ATTACK"
    "AttackDamageMin"     "0"
    "AttackDamageMax"     "0"
    "AttackDamageType"      "DAMAGE_TYPE_ArmorPhysical"
    "AttackRate"        "1"
    "AttackAnimationPoint"    "0.5"
    "AttackAcquisitionRange"  "800"
    "AttackRange"       "500"
    "ProjectileModel"     ""
    "ProjectileSpeed"     "900"

    "AttributePrimary"      "DOTA_ATTRIBUTE_STRENGTH"
    "AttributeBaseStrength"   "0"
    "AttributeStrengthGain"   "0"
    "AttributeBaseIntelligence" "0"
    "AttributeIntelligenceGain" "0"
    "AttributeBaseAgility"    "0"
    "AttributeAgilityGain"    "0"

    "BountyXP"          "0"
    "BountyGoldMin"       "0"
    "BountyGoldMax"       "0"

    "BoundsHullName"      "DOTA_HULL_SIZE_SMALL"

    "MovementCapabilities"    "DOTA_UNIT_CAP_MOVE_GROUND"
    "MovementSpeed"       "450"
    "MovementTurnRate"      "1.0"
    "FollowRange"       "250"

    "StatusHealth"        "1"
    "StatusHealthRegen"     "0"
    "StatusMana"        "0"
    "StatusManaRegen"     "0"

    "TeamName"          "DOTA_TEAM_GOODGUYS"
    "CombatClassAttack"     "DOTA_COMBAT_CLASS_ATTACK_PIERCE"
    "CombatClassDefend"     "DOTA_COMBAT_CLASS_DEFEND_SOFT"
    "UnitRelationshipClass"   "DOTA_NPC_UNIT_RELATIONSHIP_TYPE_WARD"

    "VisionDaytimeRange"    "0"
    "VisionNighttimeRange"    "0"

    "AttackDesire"        "1.5"
} 
